City,Feedback
Kolkata,Had to visit branch multiple times for one task. Still not fixed after 3 days.
Lucknow,"Opened my account online, the process was smooth. Highly recommend it."
Delhi,Credit card rewards are useful for shopping. Still not fixed after 3 days.
Chennai,"Opened my account online, the process was smooth. They resolved it quickly."
Chennai,"Opened my account online, the process was smooth. Needs better support."
Ahmedabad,"Opened my account online, the process was smooth. Process was confusing at first."
Delhi,Credit card limit is too low even after requests. Process was confusing at first.
Pune,App crashes during payments. Super smooth experience.
Pune,The app works fine but sometimes crashes. They resolved it quickly.
Delhi,I faced a lot of trouble with loan processing. Highly recommend it.
Delhi,"Opened my account online, the process was smooth. Highly recommend it."
Pune,Account opening was simple but incomplete info. Will not use again.
Jaipur,The branch staff were helpful and polite. Still not fixed after 3 days.
Jaipur,Credit card limit is too low even after requests. Highly recommend it.
Hyderabad,Credit card limit is too low even after requests. Process was confusing at first.
Mumbai,Customer service responded quickly. Super smooth experience.
Pune,I faced a lot of trouble with loan processing. Still not fixed after 3 days.
Chennai,The app works fine but sometimes crashes. They resolved it quickly.
Chennai,Credit card rewards are useful for shopping. Highly recommend it.
Pune,Credit card rewards are useful for shopping. Still not fixed after 3 days.
